Authors,Title,Year,Source,DOI,ISSN
"A. Chakrabarti, R. Proeglhoef, G.B. Turu, R. Lambert, A. Mariaud, S. Acha, C.N. Markides, N. Shah",Optimisation and analysis of system integration between electric vehicles and UK decentralised energy schemes,2019,Energy,10.1016/j.energy.2019.03.184,03605442 (ISSN)
"A.M. Alishavandi, S.M. Moghaddas-Tafreshi",Interactive decentralized operation with effective presence of renewable energies using multi-agent systems,2019,International Journal Of Electrical Power And Energy Systems,,
"Moghaddas-Tafreshi, Seyed Masoud, Mohseni, Soheil, Karami, Mohammad Ehsan,Kelly, Scott",optimal energy management of a grid connected multiple energy carrier micro-grid,2019,Applied Thermal Engineering,,
"F. BÃ¼nning, M. Wetter, M. Fuchs, D. MÃ¼ller",Bidirectional low temperature district energy systems with agent-based control: Performance comparison and operation optimization,2018,Applied Energy,10.1016/j.apenergy.2017.10.072,03062619 (ISSN)
"H. Lin, Y. Liu, Q. Sun, R. Xiong, H. Li, R. Wennersten",The impact of electric vehicle penetration and charging patterns on the management of energy hub â€“ A multi-agent system simulation,2018,Applied Energy,10.1016/j.apenergy.2018.08.083,03062619 (ISSN)
"S. Behboodi, D.P. Chassin, N. Djilali, C. Crawford",Transactive control of fast-acting demand response based on thermostatic loads in real-time retail electricity markets,2018,Applied Energy,10.1016/j.apenergy.2017.07.058,03062619 (ISSN)
"B.J. Claessens, D. Vanhoudt, J. Desmedt, F. Ruelens",Model-free control of thermostatically controlled loads connected to a district heating network,2018,Energy And Buildings,10.1016/j.enbuild.2017.08.052,03787788 (ISSN)
"Y. Gao, Q. Ai",Hierarchical Coordination Control for Interconnected Operation of Electric-thermal-gas Integrated Energy System with Micro-energy Internet Clusters,2018,Ieee Journal Of Emerging And Selected Topics In Power Electronics,10.1109/JESTPE.2018.2838144,21686777 (ISSN)
"L. Yang, X. Zhang, P. Gao",Research on heat and electricity coordinated dispatch model for better integration of wind power based on electric boiler with thermal storage,2018,"Iet Generation, Transmission And Distribution",10.1049/iet-gtd.2017.2032,17518687 (ISSN)
"L Wang, S Sharkh, A Chipperfield",Optimal decentralized coordination of electric vehicles and renewable generators in a distribution network using A* search,2018,International Journal Of Electrical Power & Energy Systems,10.1016/j.ijepes.2017.11.036,0142-0615
"A. Anvari-Moghaddam, A. Rahimi-Kian, M.S. Mirian, J.M. Guerrero",A multi-agent based energy management solution for integrated buildings and microgrid system,2017,Applied Energy,10.1016/j.apenergy.2017.06.007,03062619 (ISSN)
"V.N. Coelho, M. Weiss Cohen, I.M. Coelho, N. Liu, F.G. GuimarÃ£es",Multi-agent systems applied for energy systems integration: State-of-the-art applications and trends in microgrids,2017,Applied Energy,10.1016/j.apenergy.2016.10.056,03062619 (ISSN)
"A.N.M.M. Haque, P.H. Nguyen, T.H. Vo, F.W. Bliek",Agent-based unified approach for thermal and voltage constraint management in LV distribution network,2017,Electric Power Systems Research,10.1016/j.epsr.2016.11.007,03787796 (ISSN)
"M.W. Khan, J. Wang",The research on multi-agent system for microgrid control and optimization,2017,Renewable And Sustainable Energy Reviews,10.1016/j.rser.2017.05.279,13640321 (ISSN)
"S. Howell, Y. Rezgui, J.-L. Hippolyte, B. Jayan, H. Li",Towards the next generation of smart grids: Semantic and holonic multi-agent management of distributed energy resources,2017,Renewable And Sustainable Energy Reviews,10.1016/j.rser.2017.03.107,13640321 (ISSN)
"S. Kolen, C. Molitor, L. Wagner, A. Monti",Two-level agent-based scheduling for a cluster of heating systems,2017,Sustainable Cities And Society,10.1016/j.scs.2017.01.014,22106707 (ISSN)
"Karavas, Christos Spyridon
Arvanitis, Konstantinos
Papadakis, George",A game theory approach to multi-agent decentralized energy management of autonomous polygeneration microgrids,2017,Energies,,
"S. Skarvelis-Kazakos, P. Papadopoulos, I. Grau Unda, T. Gorman, A. Belaidi, S. Zigan",Multiple energy carrier optimisation with intelligent agents,2016,Applied Energy,10.1016/j.apenergy.2015.10.130,03062619 (ISSN)
"Y.-S. Li, H.-G. Zhang, B.-N. Huang, F. Teng",Distributed optimal economic dispatch based on multi-agent system framework in combined heat and power systems,2016,Applied Sciences (Switzerland),10.3390/app6100308,20763417 (ISSN)
"MW Ahmad, M Mourshed, B Yuce, Y Rezgui",Computational intelligence techniques for HVAC systems: A review,2016,Building Simulation,10.1007/s12273-016-0285-4,1996-3599
"Gengfeng Li, Zhaohong Bie ⇑, Yu Kou, Jiangfeng Jiang, Mattia Bettinelli",Reliability evaluation of integrated energy systems based on smart agent communication,2016,Applied Energy,,
,,,,,
"H. Harb, J.-N. Paprott, P. Matthes, T. SchÃ¼tz, R. Streblow, D. MÃ¼ller",Decentralized scheduling strategy of heating systems for balancing the residual load,2015,Building And Environment,10.1016/j.buildenv.2014.12.015,03601323 (ISSN)
"CS Karavas, G Kyriakarakos, KG Arvanitis, G Papadakis",A multi-agent decentralized energy management system based. on distributed intelligence for the design and control of autonomous polygeneration microgrids,2015,Energy Conversion And Management,10.1016/j.enconman.2015.06.021,0196-8904
"M. Sonnenschein, O. LÃ¼nsdorf, J. Bremer, M. TrÃ¶schel",Decentralized control of units in smart grids for the support of renewable energy supply,2015,Environmental Impact Assessment Review,10.1016/j.eiar.2014.08.004,01959255 (ISSN)
"N. Blaauwbroek, P.H. Nguyen, M.J. Konsman, H. Shi, R.I.G. Kamphuis, W.L. Kling",Decentralized Resource Allocation and Load Scheduling for Multicommodity Smart Energy Systems,2015,Ieee Transactions On Sustainable Energy,10.1109/TSTE.2015.2441107,19493029 (ISSN)
"T. Labeodan, K. Aduda, G. Boxem, W. Zeiler","On the application of multi-agent systems in buildings for improved building operations, performance and smart grid interaction - A survey",2015,Renewable And Sustainable Energy Reviews,10.1016/j.rser.2015.05.081,13640321 (ISSN)
"J.M. Gonzalez De Durana, O. Barambones, E. Kremers, L. Varga",Agent based modeling of energy networks,2014,Energy Conversion And Management,10.1016/j.enconman.2014.03.018,01968904 (ISSN)
"P. Allen, L. Varga",Modelling sustainable energy futures for the UK,2014,Futures,10.1016/j.futures.2014.01.005,00163287 (ISSN)
"D. Vanhoudt, D. Geysen, B. Claessens, F. Leemans, L. Jespers, J. Van Bael",An actively controlled residential heat pump: Potential on peak shaving and maximization of self-consumption of renewable energy,2014,Renewable Energy,10.1016/j.renene.2013.10.021,09601481 (ISSN)
"G Kyriakarakos, DD Piromalis, AI Dounis, KG Arvanitis, G Papadakis",Intelligent demand side energy management system for autonomous polygeneration microgrids,2013,Applied Energy,10.1016/j.apenergy.2012.10.011,0306-2619
"G. Sorda, Y. Sunak, R. Madlener",An agent-based spatial simulation to evaluate the promotion of electricity from agricultural biogas plants in Germany,2013,Ecological Economics,10.1016/j.ecolecon.2013.01.022,09218009 (ISSN)
"F Chingcuanco, EJ Miller",A microsimulation model of urban energy use: Modelling residential space heating demand in ILUTE,2012,Computers Environment And Urban Systems,10.1016/j.compenvurbsys.2011.11.005,0198-9715
"B.M.S. Hodge, S. Huang, J.D. Siirola, J.F. Pekny, G.V. Reklaitis",A multi-paradigm modeling framework for energy systems simulation and analysis,2011,Computers And Chemical Engineering,10.1016/j.compchemeng.2011.05.005,00981354 (ISSN)
"T. Krause, G. Andersson, K. FrÃ¶hlich, A. Vaccaro","Multiple-energy carriers: Modeling of production, delivery, and consumption",2011,Proceedings Of The Ieee,10.1109/JPROC.2010.2083610,00189219 (ISSN)
"A. Faber, M. Valente, P. Janssen",Exploring domestic micro-cogeneration in the Netherlands: An agent-based demand model for technology diffusion,2010,Energy Policy,10.1016/j.enpol.2010.01.008,03014215 (ISSN)
"G. Conte, G. Morganti, A.M. Perdon, D. Scaradozzi",Multi-agent system theory for resource management in home automation systems,2009,Journal Of Physical Agents,10.14198/JoPha.2009.3.2.04,18880258 (ISSN)
J. Jackson,Are US utility standby rates inhibiting diffusion of customer-owned generating systems?,2007,Energy Policy,10.1016/j.enpol.2006.06.001,03014215 (ISSN)
,,,,,
,,,,,
,,,,,
zheng ma et al,The application of ontologies in multi-agent systems in energy sectors a coping review ,2019,Energies,,
"Cai, Kim, Rita",A general multi-agent control approach for building energy system optimization,2016,Energy And Building ,,
"Seyed EhsanAhmadia, Delnia Sadeghia, Mousa Marzbandab, Abdullah Abusorrahbc, Khaled Sedraoui",Decentralized bi-level stochastic optimization approach for multi-agent multi-energy networked micro-grids with multi-energy storage technologies,2022,Energy,,
"P. Zhao, S. Suryanarayanan, M.G. Simoes",An energy management system for building structures using a multi-agent decision-making control methodology,2013,Ieee Transactions On Industry Applications,,
"A Gonzalez-Briones, J Prieto, F De La Prieta, E Herrera-Viedma, JM Corchado",Energy Optimization Using a Case-Based Reasoning Strategy,2018,Sensors,,
"N Zhang, QY Sun, JW Wang, LX Yang",Distributed Adaptive Dual Control via Consensus Algorithm in the Energy Internet,2021,Ieee Transactions On Industrial Informatics,,
"DH Nguyen, T Ishihara",Distributed peer-to-peer energy trading for residential fuel cell combined heat and power systems,2021,International Journal Of Electrical Power & Energy Systems,,
"L. Xi, L. Yu, Y. Xu, S. Wang, X. Chen",A Novel Multi-Agent DDQN-AD Method-Based Distributed Strategy for Automatic Generation Control of Integrated Energy Systems,2020,Ieee Transactions On Sustainable Energy,,
M.E. El-Hawary,The smart grid - State-of-the-art and future trends,2014,Electric Power Components And Systems,,
